ticker,company_name,cik
NVDA,NVIDIA CORP,1045810
ARM,ARM HOLDINGS PLC /UK,1973239
MU,MICRON TECHNOLOGY INC,723125
AVGO,Broadcom Inc.,1730168
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,1046179
ANET,"Arista Networks, Inc.",1596532
MRVL,"Marvell Technology, Inc.",1835632
AMD,ADVANCED MICRO DEVICES INC,2488
INTC,INTEL CORP,50863
META,"Meta Platforms, Inc.",1326801
AMZN,AMAZON COM INC,1018724
GOOGL,Alphabet Inc.,1652044
VRT,Vertiv Holdings Co,1674101
ORCL,ORACLE CORP,1341439
SMCI,"Super Micro Computer, Inc.",1375365
HPE,Hewlett Packard Enterprise Co,1645590
DELL,Dell Technologies Inc.,1571996
INOD,INNODATA INC,903651
NOW,"ServiceNow, Inc.",1373715
SNOW,Snowflake Inc.,1640147
PLTR,Palantir Technologies Inc.,1321655
GTLB,Gitlab Inc.,1653482
DDOG,"Datadog, Inc.",1561550
MDB,"MongoDB, Inc.",1441816
AAPL,Apple Inc.,320193
GCOM,,
MSFT,MICROSOFT CORP,789019
CRM,"Salesforce, Inc.",1108524
HUBS,HUBSPOT INC,1404655
TSLA,"Tesla, Inc.",1318605
SERV,Serve Robotics Inc. /DE/,1832483
RR,RICHTECH ROBOTICS INC.,1963685
AUR,"Aurora Innovation, Inc.",1828108
ISRG,INTUITIVE SURGICAL INC,1035267
IREN,IREN Ltd,1878848
CIFR,Cipher Mining Inc.,1819989
GLXY,Galaxy Digital Inc.,1859392
HUT,Hut 8 Corp.,1964789
BITF,Bitfarms Ltd,1812477
WULF,TERAWULF INC.,1083301
CORZ,"Core Scientific, Inc./tx",1839341
BTBT,"Bit Digital, Inc",1710350
HIVE,HIVE Digital Technologies Ltd.,1720424
MARA,"MARA Holdings, Inc.",1507605
RIOT,"Riot Platforms, Inc.",1167419
OSCR,"Oscar Health, Inc.",1568651
HIMS,"Hims & Hers Health, Inc.",1773751
LMND,"Lemonade, Inc.",1691421
TEM,"Tempus AI, Inc.",1717115
DXCM,DEXCOM INC,1093557
PODD,INSULET CORP,1145197
LFMD,"LifeMD, Inc.",948320
BEAM,Beam Therapeutics Inc.,1745999
KRYS,"Krystal Biotech, Inc.",1711279
HNGE,"Hinge Health, Inc.",1673743
OKLO,Oklo Inc.,1849056
SMR,NUSCALE POWER Corp,1822966
NNE,Nano Nuclear Energy Inc.,1923891
CCJ,CAMECO CORP,1009001
BOE,BlackRock Enhanced Global Dividend Trust,1320375
PDN,,
EFR,Eaton Vance Senior Floating-Rate Trust,1258623
KAP,,
UEC,URANIUM ENERGY CORP,1334933
PEN,Penumbra Inc,1321732
EU,enCore Energy Corp.,1500881
URE,,
PEG,PUBLIC SERVICE ENTERPRISE GROUP INC,788784
CEG,Constellation Energy Corp,1868275
TLN,Talen Energy Corp,1622536
VST,Vistra Corp.,1692819
LAM,,
NXE,NexGen Energy Ltd.,1698535
DML,,
ISO,,
PONY,Pony AI Inc.,1969302
OUST,"Ouster, Inc.",1816581
JOBY,"Joby Aviation, Inc.",1819848
ACHR,Archer Aviation Inc.,1824502
UBER,"Uber Technologies, Inc",1543151
WRD,WeRide Inc.,1867729
EOSE,"Eos Energy Enterprises, Inc.",1805077
QS,QuantumScape Corp,1811414
MVST,"Microvast Holdings, Inc.",1760689
ABAT,AMERICAN BATTERY TECHNOLOGY Co,1576873
ALB,ALBEMARLE CORP,915913
FREY,,
SLDP,"Solid Power, Inc.",1844862
PLUG,PLUG POWER INC,1093691
